group_id,component,D_A2_per_ns,source_file
mucin_D008,mucin,0.11663,diffusion_coefficients_mucins.txt
mucin_D006,mucin,0.08405,diffusion_coefficients_mucins.txt
mucin_D00n,mucin,0.06258,diffusion_coefficients_mucins.txt
mucin_D00e,mucin,0.04269,diffusion_coefficients_mucins.txt
mucin_D001,mucin,0.08675,diffusion_coefficients_mucins.txt
mucin_D003,mucin,0.10676,diffusion_coefficients_mucins.txt
mucin_D00m,mucin,0.0423,diffusion_coefficients_mucins.txt
mucin_D010,mucin,0.10741,diffusion_coefficients_mucins.txt
mucin_D005,mucin,0.11245,diffusion_coefficients_mucins.txt
mucin_D00g,mucin,0.07407,diffusion_coefficients_mucins.txt
mucin_D00l,mucin,0.16564,diffusion_coefficients_mucins.txt
mucin_D00w,mucin,0.17596,diffusion_coefficients_mucins.txt
mucin_D002,mucin,0.07916,diffusion_coefficients_mucins.txt
mucin_D000,mucin,0.10366,diffusion_coefficients_mucins.txt
mucin_D007,mucin,0.13437,diffusion_coefficients_mucins.txt
mucin_D00a,mucin,0.20292,diffusion_coefficients_mucins.txt
mucin_D017,mucin,0.08663,diffusion_coefficients_mucins.txt
mucin_D012,mucin,0.13898,diffusion_coefficients_mucins.txt
mucin_D00b,mucin,0.11268,diffusion_coefficients_mucins.txt
mucin_D00h,mucin,0.13935,diffusion_coefficients_mucins.txt
mucin_D00u,mucin,0.1538,diffusion_coefficients_mucins.txt
mucin_D00t,mucin,0.16637,diffusion_coefficients_mucins.txt
mucin_D00j,mucin,0.11674,diffusion_coefficients_mucins.txt
mucin_D019,mucin,0.07022,diffusion_coefficients_mucins.txt
mucin_D00f,mucin,0.08469,diffusion_coefficients_mucins.txt
mucin_D00d,mucin,0.05302,diffusion_coefficients_mucins.txt
mucin_D01b,mucin,0.08386,diffusion_coefficients_mucins.txt
mucin_D018,mucin,0.02944,diffusion_coefficients_mucins.txt
mucin_D01a,mucin,0.13424,diffusion_coefficients_mucins.txt
mucin_D01g,mucin,0.10679,diffusion_coefficients_mucins.txt
mucin_D01d,mucin,0.05964,diffusion_coefficients_mucins.txt
mucin_D01k,mucin,0.09196,diffusion_coefficients_mucins.txt
mucin_D01e,mucin,0.07531,diffusion_coefficients_mucins.txt
mucin_D00o,mucin,0.05417,diffusion_coefficients_mucins.txt
mucin_D00r,mucin,0.18648,diffusion_coefficients_mucins.txt
mucin_D00v,mucin,0.11098,diffusion_coefficients_mucins.txt
mucin_D00s,mucin,0.05097,diffusion_coefficients_mucins.txt
mucin_D01m,mucin,0.02626,diffusion_coefficients_mucins.txt
mucin_D01i,mucin,0.12642,diffusion_coefficients_mucins.txt
mucin_D00z,mucin,0.11387,diffusion_coefficients_mucins.txt
mucin_D011,mucin,0.0687,diffusion_coefficients_mucins.txt
mucin_D01h,mucin,0.08129,diffusion_coefficients_mucins.txt
mucin_D014,mucin,0.10751,diffusion_coefficients_mucins.txt
mucin_D015,mucin,0.06876,diffusion_coefficients_mucins.txt
mucin_D01p,mucin,0.08526,diffusion_coefficients_mucins.txt
mucin_D016,mucin,0.08628,diffusion_coefficients_mucins.txt
mucin_D01q,mucin,0.06951,diffusion_coefficients_mucins.txt
mucin_D01v,mucin,0.06177,diffusion_coefficients_mucins.txt
mucin_D01s,mucin,0.13157,diffusion_coefficients_mucins.txt
mucin_D01l,mucin,0.06681,diffusion_coefficients_mucins.txt
mucin_D01w,mucin,0.05209,diffusion_coefficients_mucins.txt
mucin_D01n,mucin,0.05714,diffusion_coefficients_mucins.txt
mucin_D01u,mucin,0.09399,diffusion_coefficients_mucins.txt
mucin_D01x,mucin,0.0462,diffusion_coefficients_mucins.txt
mucin_D022,mucin,0.08084,diffusion_coefficients_mucins.txt
mucin_D01r,mucin,0.05525,diffusion_coefficients_mucins.txt
mucin_D024,mucin,0.16617,diffusion_coefficients_mucins.txt
mucin_D01z,mucin,0.08416,diffusion_coefficients_mucins.txt
mucin_D01y,mucin,0.1217,diffusion_coefficients_mucins.txt
mucin_D029,mucin,0.11941,diffusion_coefficients_mucins.txt
mucin_D021,mucin,0.07386,diffusion_coefficients_mucins.txt
mucin_D02b,mucin,0.05209,diffusion_coefficients_mucins.txt
mucin_D023,mucin,0.08684,diffusion_coefficients_mucins.txt
mucin_D02h,mucin,0.03008,diffusion_coefficients_mucins.txt
mucin_D02j,mucin,0.25674,diffusion_coefficients_mucins.txt
mucin_D02l,mucin,0.10851,diffusion_coefficients_mucins.txt
mucin_D02k,mucin,0.17825,diffusion_coefficients_mucins.txt
mucin_D02p,mucin,0.10748,diffusion_coefficients_mucins.txt
mucin_D02m,mucin,0.05289,diffusion_coefficients_mucins.txt
mucin_D02t,mucin,0.08897,diffusion_coefficients_mucins.txt
mucin_D02o,mucin,0.1113,diffusion_coefficients_mucins.txt
mucin_D02u,mucin,0.10419,diffusion_coefficients_mucins.txt
mucin_D02v,mucin,0.11945,diffusion_coefficients_mucins.txt
mucin_D02x,mucin,0.05117,diffusion_coefficients_mucins.txt
mucin_D02c,mucin,0.22622,diffusion_coefficients_mucins.txt
mucin_D02w,mucin,0.13946,diffusion_coefficients_mucins.txt
mucin_D02r,mucin,0.20191,diffusion_coefficients_mucins.txt
mucin_D035,mucin,0.10169,diffusion_coefficients_mucins.txt
mucin_D026,mucin,0.12476,diffusion_coefficients_mucins.txt
mucin_D02a,mucin,0.07013,diffusion_coefficients_mucins.txt
mucin_D02g,mucin,0.12719,diffusion_coefficients_mucins.txt
mucin_D033,mucin,0.07866,diffusion_coefficients_mucins.txt
mucin_D02e,mucin,0.08246,diffusion_coefficients_mucins.txt
mucin_D02z,mucin,0.08178,diffusion_coefficients_mucins.txt
mucin_D037,mucin,0.07215,diffusion_coefficients_mucins.txt
mucin_D038,mucin,0.05296,diffusion_coefficients_mucins.txt
mucin_D031,mucin,0.05353,diffusion_coefficients_mucins.txt
mucin_D039,mucin,0.08384,diffusion_coefficients_mucins.txt
mucin_D030,mucin,0.08642,diffusion_coefficients_mucins.txt
mucin_D028,mucin,0.0871,diffusion_coefficients_mucins.txt
mucin_D02q,mucin,0.14453,diffusion_coefficients_mucins.txt
mucin_D025,mucin,0.05732,diffusion_coefficients_mucins.txt
mucin_D03a,mucin,0.09282,diffusion_coefficients_mucins.txt
mucin_D02s,mucin,0.18273,diffusion_coefficients_mucins.txt
mucin_D03e,mucin,0.09438,diffusion_coefficients_mucins.txt
mucin_D034,mucin,0.10441,diffusion_coefficients_mucins.txt
mucin_D03f,mucin,0.0921,diffusion_coefficients_mucins.txt
mucin_D03b,mucin,0.0873,diffusion_coefficients_mucins.txt
mucin_D036,mucin,0.07156,diffusion_coefficients_mucins.txt
mucin_D03j,mucin,0.10668,diffusion_coefficients_mucins.txt
mucin_D03m,mucin,0.09199,diffusion_coefficients_mucins.txt
mucin_D03g,mucin,0.0757,diffusion_coefficients_mucins.txt
mucin_D03n,mucin,0.07955,diffusion_coefficients_mucins.txt
mucin_D03i,mucin,0.0544,diffusion_coefficients_mucins.txt
mucin_D03k,mucin,0.09922,diffusion_coefficients_mucins.txt
mucin_D03d,mucin,0.05644,diffusion_coefficients_mucins.txt
mucin_D03p,mucin,0.04179,diffusion_coefficients_mucins.txt
mucin_D03q,mucin,0.05056,diffusion_coefficients_mucins.txt
mucin_D03s,mucin,0.14128,diffusion_coefficients_mucins.txt
mucin_D03t,mucin,0.03024,diffusion_coefficients_mucins.txt
mucin_D03r,mucin,0.13419,diffusion_coefficients_mucins.txt
mucin_D03y,mucin,0.09619,diffusion_coefficients_mucins.txt
mucin_D03x,mucin,0.04883,diffusion_coefficients_mucins.txt
mucin_D03v,mucin,0.04962,diffusion_coefficients_mucins.txt
mucin_D040,mucin,0.1691,diffusion_coefficients_mucins.txt
mucin_D041,mucin,0.0696,diffusion_coefficients_mucins.txt
mucin_D045,mucin,0.07625,diffusion_coefficients_mucins.txt
mucin_D042,mucin,0.04524,diffusion_coefficients_mucins.txt
mucin_D03u,mucin,0.17546,diffusion_coefficients_mucins.txt
mucin_D046,mucin,0.0427,diffusion_coefficients_mucins.txt
mucin_D043,mucin,0.10957,diffusion_coefficients_mucins.txt
mucin_D049,mucin,0.10349,diffusion_coefficients_mucins.txt
