group_id,component,D_A2_per_ns,source_file
spike_00,spike,0.03148,diffusion_coefficients_spike.txt
spike_01,spike,0.03276,diffusion_coefficients_spike.txt
spike_02,spike,0.00667,diffusion_coefficients_spike.txt
spike_03,spike,0.01025,diffusion_coefficients_spike.txt
spike_04,spike,0.01325,diffusion_coefficients_spike.txt
spike_05,spike,0.00516,diffusion_coefficients_spike.txt
spike_07,spike,0.0078,diffusion_coefficients_spike.txt
spike_08,spike,0.01886,diffusion_coefficients_spike.txt
spike_09,spike,0.01905,diffusion_coefficients_spike.txt
spike_10,spike,0.02417,diffusion_coefficients_spike.txt
spike_11,spike,0.02114,diffusion_coefficients_spike.txt
spike_12,spike,0.01496,diffusion_coefficients_spike.txt
spike_13,spike,0.01751,diffusion_coefficients_spike.txt
spike_14,spike,0.00919,diffusion_coefficients_spike.txt
spike_15,spike,0.02458,diffusion_coefficients_spike.txt
spike_16,spike,0.02765,diffusion_coefficients_spike.txt
spike_17,spike,0.0206,diffusion_coefficients_spike.txt
spike_18,spike,0.01366,diffusion_coefficients_spike.txt
spike_19,spike,0.01893,diffusion_coefficients_spike.txt
spike_20,spike,0.01708,diffusion_coefficients_spike.txt
spike_21,spike,0.01954,diffusion_coefficients_spike.txt
spike_22,spike,0.01635,diffusion_coefficients_spike.txt
spike_23,spike,0.0066,diffusion_coefficients_spike.txt
spike_24,spike,0.02104,diffusion_coefficients_spike.txt
spike_25,spike,0.01486,diffusion_coefficients_spike.txt
spike_26,spike,0.0192,diffusion_coefficients_spike.txt
spike_27,spike,0.00245,diffusion_coefficients_spike.txt
spike_28,spike,0.01938,diffusion_coefficients_spike.txt
spike_29,spike,0.02045,diffusion_coefficients_spike.txt
