group_id,component,D_A2_per_ns,source_file
albumin_R00a,albumin,0.32926,diffusion_coefficients_albumin.txt
albumin_R006,albumin,0.04883,diffusion_coefficients_albumin.txt
albumin_R00c,albumin,0.0198,diffusion_coefficients_albumin.txt
albumin_R00i,albumin,0.02597,diffusion_coefficients_albumin.txt
albumin_R00g,albumin,0.04007,diffusion_coefficients_albumin.txt
albumin_R003,albumin,0.12372,diffusion_coefficients_albumin.txt
albumin_R000,albumin,0.08306,diffusion_coefficients_albumin.txt
albumin_R00e,albumin,0.04467,diffusion_coefficients_albumin.txt
albumin_R00f,albumin,0.08896,diffusion_coefficients_albumin.txt
albumin_R01d,albumin,0.06414,diffusion_coefficients_albumin.txt
albumin_R00b,albumin,0.05831,diffusion_coefficients_albumin.txt
albumin_R007,albumin,0.20084,diffusion_coefficients_albumin.txt
albumin_R001,albumin,0.1242,diffusion_coefficients_albumin.txt
albumin_R01e,albumin,0.21736,diffusion_coefficients_albumin.txt
albumin_R009,albumin,0.00707,diffusion_coefficients_albumin.txt
albumin_R01f,albumin,0.06057,diffusion_coefficients_albumin.txt
albumin_R005,albumin,0.01863,diffusion_coefficients_albumin.txt
albumin_R008,albumin,0.04869,diffusion_coefficients_albumin.txt
albumin_R00z,albumin,0.04002,diffusion_coefficients_albumin.txt
albumin_R00h,albumin,0.00912,diffusion_coefficients_albumin.txt
albumin_R01g,albumin,0.06749,diffusion_coefficients_albumin.txt
albumin_R01h,albumin,0.00171,diffusion_coefficients_albumin.txt
albumin_R00k,albumin,0.06019,diffusion_coefficients_albumin.txt
albumin_R01j,albumin,0.09628,diffusion_coefficients_albumin.txt
albumin_R01i,albumin,0.12463,diffusion_coefficients_albumin.txt
albumin_R01l,albumin,0.02814,diffusion_coefficients_albumin.txt
albumin_R00m,albumin,0.07731,diffusion_coefficients_albumin.txt
albumin_R00t,albumin,0.06197,diffusion_coefficients_albumin.txt
albumin_R00q,albumin,0.12955,diffusion_coefficients_albumin.txt
albumin_R002,albumin,0.08342,diffusion_coefficients_albumin.txt
