Overall 6A Statistics for all Albumins
Component,Mean,SD
Spike,0.008338557993730407,0.08478301737655339
Mucin,0.22482758620689655,0.4532830467711967
D Mucin,0.11642633228840124,0.3449189399977178
Q Mucin,0.057366771159874604,0.2200002812044551
T Mucin,0.05103448275862069,0.22458213822849216
Albumin,0.3349216300940439,0.5880800992101243
M Prot,0.00025078369905956113,0.005881399071878906
E Prot,0.0,0.0
DPPG,1.8603803552769067,1.426647928100709
DPPC,18.58702194357367,7.577044316959022
CHL,0.7024472309299895,0.7914548044602573
CAL,2.965251828631139,1.1469714607641384
CLA,44.530154649947754,3.0055944157888015
SOD,44.57929989550679,2.5481944106230783
MG,0.48618181818181816,0.3388443276547027
POT,1.694407523510972,0.3154882062580845
