Component,Mean,SD,Total Available,NBR,Pref Index,Expected,Enrichment Ratio,SNR,CV,Rel Contribution
Spike,0.008338557993730407,0.08478301737655339,29,0.0002875364825424278,1.2321917287933597,0.00033534869539251887,24.86533601679975,0.09835174840140122,10.167587422225765,24.865336016799745
Mucin,0.22482758620689652,0.4532830467711967,345,0.0006516741629185406,2.7926456716603822,0.003989493100359277,56.35492543818399,0.4959982240862023,2.016136250976182,56.35492543818399
D Mucin,0.11642633228840125,0.3449189399977178,147,0.0007920158659074915,3.394057652841737,0.0016998709731965613,68.49127617578215,0.33754693867832136,2.9625509385910602,68.49127617578215
Q Mucin,0.05736677115987461,0.2200002812044551,101,0.0005679878332660853,2.4340212553809133,0.0011679385598153244,49.11797001457465,0.26075771742564896,3.834977579465638,49.11797001457465
T Mucin,0.051034482758620686,0.22458213822849216,97,0.0005261286882332029,2.2546405666146847,0.001121683567347391,45.49811038001509,0.227241948808492,4.400595951774509,45.4981103800151
Albumin,0.3349216300940439,0.5880800992101243,550,0.0006089484183528071,2.6095513088340363,0.006360061464340876,52.66012474436888,0.569517027602008,1.755873751853516,52.66012474436888
M Prot,0.0002507836990595612,0.005881399071878906,720,3.4831069313827945e-07,0.001492629913743001,0.008325898644228056,0.030120916645246146,0.042640143271122116,23.452078799117132,0.030120916645246146
E Prot,0.0,0.0,20,0.0,0.0,0.0002312749623396682,0.0,,,0.0
DPPG,1.8603803552769067,1.426647928100709,24807,7.499416919727927e-05,0.3213755492017678,0.28686189953800745,6.485282145426279,1.3040220496122152,0.7668581986764533,6.485282145426279
DPPC,18.587021943573674,7.5770443169590225,236055,7.874021708319533e-05,0.3374286398561286,2.729680561754519,6.809229696689034,2.4530702429669047,0.4076524114493086,6.809229696689034
CHL,0.7024472309299895,0.7914548044602573,21213,3.311399759251353e-05,0.1419047544158425,0.24530178880556908,2.863604192820472,0.8875392845824372,1.1267106902997228,2.863604192820472
CAL,2.9652518286311387,1.1469714607641384,44827,6.61487904305695e-05,0.2834700894910129,0.5183681368400154,5.720358984075266,2.585288239565805,0.386804064899142,5.720358984075266
CLA,44.53015464994776,3.005594415788801,4885636,9.114505184165943e-06,0.03905875804235136,56.49626409526636,0.7881964473767531,14.81575638283886,0.06749571025332891,0.7881964473767532
SOD,44.57929989550679,2.5481944106230783,4627417,9.6337330081786e-06,0.04128382605615849,53.51028462024702,0.8330977906747864,17.494465771395507,0.057160933809997184,0.8330977906747864
MG,0.4861818181818182,0.3388443276547027,27281,1.782126088419846e-05,0.0763701707136859,0.31547061237942436,1.541131880763192,1.434823541379329,0.6969498137998745,1.541131880763192
POT,1.694407523510972,0.3154882062580845,179254,9.452550701858657e-06,0.04050739818419899,2.072848104961744,0.8174296608878842,5.370747590243881,0.1861938181225513,0.8174296608878842
