Overall 6A Statistics for all D Mucins
Component,Mean,SD
Spike,0.0,0.0
Mucin,1.4189616076315583,1.0891994225428234
D Mucin,0.7879505825318633,0.8116530906970642
Q Mucin,0.264367816091954,0.4749749271902057
T Mucin,0.36664320900774106,0.7389016351433774
Albumin,0.4353819688795058,0.6025632744868543
M Prot,0.0,0.0
E Prot,0.0,0.0
DPPG,8.642294159042928,3.1013593275714255
DPPC,85.54334975369457,13.86827767364122
CHL,2.8975838611306592,1.6567069633661082
CAL,1.5720775666588476,0.41595287865593933
CLA,131.98043631245602,6.318790048522172
SOD,173.75300648995233,5.685765341153668
MG,0.8729924153569473,0.2841348753538847
POT,6.699186801157245,0.6447250384563938
