Component,Mean,SD,Total Available,NBR,Pref Index,Expected,Enrichment Ratio,SNR,CV,Rel Contribution
Spike,0.0,0.0,29,0.0,0.0,0.0011983673127463287,0.0,,,0.0
Mucin,1.4189616076315583,1.0891994225428234,345,0.0041129321960335025,3.722438558649686,0.01425643872060288,99.53128094893204,1.3027564817459034,0.7676031660651106,99.53128094893204
D Mucin,0.7879505825318633,0.8116530906970642,147,0.005360208044434445,4.851294442983926,0.006074482585300357,129.7148475556791,0.9707972427668025,1.030081211551414,129.7148475556791
Q Mucin,0.264367816091954,0.4749749271902057,101,0.0026175031296233066,2.3689898380752825,0.004173624089219973,63.3425077200383,0.5565932030472985,1.7966442898064305,63.342507720038306
T Mucin,0.36664320900774106,0.7389016351433774,97,0.003779826896987021,3.420959236803103,0.004008332046082548,91.47026862858615,0.49620029455828335,2.0153152083277144,91.47026862858615
Albumin,0.4353819688795058,0.6025632744868543,550,0.0007916035797809197,0.7164464542798448,0.02272765593139589,19.156483633583655,0.7225497923853377,1.3839876649866885,19.15648363358365
M Prot,0.0,0.0,720,0.0,0.0,0.02975256776473644,0.0,,,0.0
E Prot,0.0,0.0,20,0.0,0.0,0.0008264602156871233,0.0,,,0.0
DPPG,8.642294159042928,3.101359327571425,24807,0.00034838126976429747,0.31530494787456387,1.0250999285275233,8.430684578679967,2.7866149150187094,0.3588583390587666,8.430684578679967
DPPC,85.54334975369456,13.868277673641222,236055,0.0003623873663074053,0.32798126524213805,9.754503310701194,8.769626400131422,6.168274948538328,0.1621198808974892,8.769626400131422
CHL,2.8975838611306592,1.6567069633661082,21213,0.00013659472310048834,0.12362602638275853,0.8765850277685473,3.3055365644412245,1.7490020415217722,0.5717546213553414,3.3055365644412245
CAL,1.5720775666588476,0.4159528786559393,44827,3.50698812469906e-05,0.03174024563958554,1.852386604430334,0.8486768166531359,3.7794607209803965,0.2645880123714049,0.8486768166531359
CLA,131.98043631245602,6.318790048522173,4885636,2.7013972451581744e-05,0.02444918804473507,201.88918911643873,0.6537271108476089,20.886979199969364,0.047876717376223885,0.6537271108476089
SOD,173.75300648995233,5.685765341153668,4627417,3.7548594926705834e-05,0.03398362309815944,191.21880259471305,0.9086606763155014,30.559299595487182,0.03272326307333543,0.9086606763155015
MG,0.8729924153569473,0.2841348753538847,27281,3.2000015225136444e-05,0.028961841546112036,1.1273330572080205,0.7743873115182311,3.072457804659324,0.32547232983428415,0.7743873115182311
POT,6.6991868011572455,0.6447250384563938,179254,3.73725930866661e-05,0.03382433138010267,7.407314975138981,0.9044015036003719,10.390765677716653,0.09623929852874402,0.9044015036003719
