Overall 6A Statistics for all Q Mucins
Component,Mean,SD
Spike,0.01775349948787982,0.11525847098601563
Mucin,1.417207237965176,1.1500246076103222
D Mucin,0.38477296005462613,0.6976558792702295
Q Mucin,0.39194264254011607,0.5207404125129823
T Mucin,0.6404916353704336,1.0134921736647746
Albumin,0.31239330829634687,0.589923749726821
M Prot,0.0,0.0
E Prot,0.0,0.0
DPPG,11.438716285421645,3.6137869136952823
DPPC,104.24889040628199,17.187644958349534
CHL,4.014339364970979,1.8737835043903526
CAL,1.9320587231136908,0.47173259332875184
CLA,162.41106179583474,7.49334652662568
SOD,210.32536701946054,6.477786823950123
MG,1.0539433253670194,0.299282369643865
POT,8.150904745646978,0.7590884370709725
