Overall 6A Statistics for all Spikes
Component,Mean,SD
Spike,0.0,0.0
Mucin,0.13198573127229488,0.3196562837776793
D Mucin,0.0,0.0
Q Mucin,0.06183115338882283,0.21123917725461025
T Mucin,0.07015457788347206,0.25763074222475973
Albumin,0.1581450653983353,0.4994065818943021
M Prot,1.3388822829964329,1.0122852030018588
E Prot,0.0,0.0
DPPG,11.620689655172411,4.323261434883029
DPPC,102.44351961950059,16.27096842431595
CHL,4.281807372175981,2.126360493660296
CAL,6.370986920332936,1.9178750940045526
CLA,302.04042806183116,11.429654528024512
SOD,306.4565992865636,10.980206937193493
MG,2.6147443519619507,1.164821438235242
POT,10.669441141498215,1.0806416678298056
