Component,Mean,SD,Total Available,NBR,Pref Index,Expected,Enrichment Ratio,SNR,CV,Rel Contribution
Spike,0.0,0.0,29,0.0,0.0,0.0021594784695086614,0.0,,,0.0
Mucin,0.13198573127229488,0.3196562837776793,345,0.00038256733702114455,1.1346028241185004,0.02569034730967201,5.137561189085378,0.41289891039367416,2.42190031222548,5.137561189085378
D Mucin,0.0,0.0,147,0.0,0.0,0.010946321897164595,0.0,,,0.0
Q Mucin,0.06183115338882283,0.21123917725461025,101,0.0006121896375130973,1.8156074092129069,0.007520942255874993,8.221197728319659,0.29270684629819715,3.4163874629062927,8.221197728319659
T Mucin,0.07015457788347207,0.2576307422247597,97,0.0007232430709636295,2.144965216395661,0.007223083156632419,9.712552986331653,0.2723067025218151,3.6723297323902178,9.712552986331653
Albumin,0.1581450653983353,0.4994065818943021,550,0.00028753648254242786,0.8527641373411532,0.04095562614585392,3.8613758421160136,0.3166659614266082,3.157901769722617,3.8613758421160136
M Prot,1.3388822829964329,1.0122852030018588,720,0.0018595587263839344,5.515004493059483,0.05361463786366332,24.97232726631628,1.32263346241363,0.7560673674285641,24.972327266316285
E Prot,0.0,0.0,20,0.0,0.0,0.00148929549621287,0.0,,,0.0
DPPG,11.620689655172413,4.323261434883029,24807,0.00046844397368373496,1.3892922998114767,1.8472476687276331,6.290813003530076,2.687945161356365,0.37203139944097285,6.290813003530077
DPPC,102.4435196195006,16.27096842431595,236055,0.00043398157047934,1.2870850902099527,17.57778241792645,5.828011587799895,6.296092337466844,0.15882867442225887,5.828011587799895
CHL,4.281807372175981,2.126360493660296,21213,0.00020184827097421303,0.5986334852160173,1.5796212680581803,2.710654419992448,2.013678952812616,0.49660349213227123,2.7106544199924474
CAL,6.370986920332936,1.9178750940045528,44827,0.00014212387445809303,0.42150527170045105,3.3380324604367164,1.9086054422309053,3.3218987723701114,0.3010326528663361,1.9086054422309058
CLA,302.04042806183116,11.42965452802451,4885636,6.18221308467989e-05,0.1833495896381887,363.807784546773,0.8302198053241472,26.426033028492203,0.03784147241933033,0.8302198053241471
SOD,306.45659928656363,10.980206937193492,4627417,6.622627683793434e-05,0.19641122871663483,344.57956485994345,0.8893638234499625,27.90991108268612,0.035829565957318614,0.8893638234499625
MG,2.6147443519619507,1.164821438235242,27281,9.584488662299589e-05,0.2842529105765195,2.031473521609165,1.2871171217091557,2.2447598113607943,0.4454819597798264,1.2871171217091557
POT,10.669441141498217,1.0806416678298056,179254,5.95213559613633e-05,0.1765260440030529,13.348108743907089,0.7993223119618662,9.873246108421009,0.10128381172906124,0.7993223119618662
