Overall 6A Statistics for all T Mucins
Component,Mean,SD
Spike,0.020974049057945254,0.14283286122011768
Mucin,1.9854248133665124,1.4102566072401947
D Mucin,0.555634553857092,0.7607056688118734
Q Mucin,0.6669036615712762,0.7693353608742624
T Mucin,0.7628865979381443,0.8579825233670316
Albumin,0.28937077852826165,0.48652972644882064
M Prot,0.012442232492001421,0.1225417785506092
E Prot,0.0,0.0
DPPG,9.970138642019197,3.6582636735318466
DPPC,95.17063633131886,16.01968354488535
CHL,3.471738357625311,1.8711368340444825
CAL,1.7621756132243156,0.4583711980201819
CLA,149.00462140063988,6.4182518120959955
SOD,194.1340206185567,5.969211608307147
MG,0.9626733025239959,0.2923701994202495
POT,7.400639886242446,0.6519970559696496
