Component,Mean,SD,Total Available,NBR,Pref Index,Expected,Enrichment Ratio,SNR,CV,Rel Contribution
Spike,0.020974049057945254,0.14283286122011768,29,0.0007232430709636294,0.4378941142992385,0.0013453689097575562,15.58981250854452,0.14684330257602587,6.809980315460865,15.58981250854452
Mucin,1.9854248133665124,1.4102566072401947,345,0.005754854531497137,3.4843291683849746,0.016005250822977823,124.0483410929213,1.4078464891945406,0.7103047155177562,124.04834109292128
D Mucin,0.555634553857092,0.7607056688118734,147,0.0037798268969870207,2.288530672067518,0.006819628611529681,81.47577903548915,0.730419893840049,1.3690755255072298,81.47577903548915
Q Mucin,0.6669036615712762,0.7693353608742624,101,0.0066030065502106555,3.997850544442989,0.004685595168465972,142.3306191835637,0.866856894259242,1.1535929478354476,142.3306191835637
T Mucin,0.7628865979381443,0.8579825233670316,97,0.007864810288022106,4.761821126908756,0.004500027042982171,169.52933630207227,0.8891633304420972,1.1246527671162443,169.5293363020723
Albumin,0.28937077852826165,0.4865297264488206,550,0.000526128688233203,0.3185494133173444,0.025515617254022616,11.340928014690354,0.5947648474439133,1.6813367573716613,11.340928014690354
M Prot,0.01244223249200142,0.1225417785506092,720,1.7280878461113084e-05,0.010462865489965325,0.033402262587084154,0.37249669717920636,0.10153461651336187,9.848857801796107,0.37249669717920636
E Prot,0.0,0.0,20,0.0,0.0,0.0009278406274190042,0.0,,,0.0
DPPG,9.970138642019196,3.658263673531847,24807,0.00040190827758371407,0.24333903262642298,1.1508471222191619,8.663304143120175,2.725374530588056,0.36692204641107773,8.663304143120175
DPPC,95.17063633131886,16.01968354488535,236055,0.00040317144873575593,0.24410383112230727,10.951070965269652,8.69053233543496,5.940856201351385,0.1683259055778066,8.69053233543496
CHL,3.471738357625311,1.8711368340444825,21213,0.00016366088519423517,0.09908997575610777,0.9841141614719668,3.5277801026991984,1.8554166079458287,0.5389625142501668,3.5277801026991984
CAL,1.7621756132243156,0.4583711980201819,44827,3.931058543342886e-05,0.023800952517969622,2.0796155902655853,0.8473564159995888,3.8444291893460716,0.26011663910243527,0.8473564159995887
CLA,149.00462140063988,6.418251812095996,4885636,3.049851061369285e-05,0.018465601439962582,226.65457857904372,0.6574083891655242,23.215764317601575,0.043074179523860286,0.6574083891655244
SOD,194.13402061855666,5.969211608307147,4627417,4.19529989664983e-05,0.02540082589405891,214.67527463046832,0.9043147654182794,32.52255630348018,0.03074789050001558,0.9043147654182794
MG,0.962673302523996,0.2923701994202495,27281,3.528731727297372e-05,0.021365028112411887,1.2656210078308927,0.7606331568199005,3.2926519338595814,0.30370656239629307,0.7606331568199006
POT,7.400639886242446,0.6519970559696496,179254,4.128577262567332e-05,0.024996847619972725,8.315957191368309,0.889932417391959,11.350725925036913,0.08810009215307063,0.8899324173919589
