SegmentID,ComponentType,Subtype
A200,spike,None
A201,spike,None
A202,spike,None
A203,spike,None
A204,spike,None
A205,spike,None
A207,spike,None
A208,spike,None
A209,spike,None
A210,spike,None
A211,spike,None
A212,spike,None
A213,spike,None
A214,spike,None
A215,spike,None
A216,spike,None
A217,spike,None
A218,spike,None
A219,spike,None
A220,spike,None
A221,spike,None
A222,spike,None
A223,spike,None
A224,spike,None
A225,spike,None
A226,spike,None
A227,spike,None
A228,spike,None
A229,spike,None
R000,albumin,None
R001,albumin,None
R002,albumin,None
R003,albumin,None
R004,albumin,None
R005,albumin,None
R006,albumin,None
R007,albumin,None
R008,albumin,None
R009,albumin,None
R00a,albumin,None
R00b,albumin,None
R00c,albumin,None
R00d,albumin,None
R00e,albumin,None
R00f,albumin,None
R00g,albumin,None
R00h,albumin,None
R00i,albumin,None
R00j,albumin,None
R00k,albumin,None
R00l,albumin,None
R00m,albumin,None
R00n,albumin,None
R00o,albumin,None
R00p,albumin,None
R00q,albumin,None
R00r,albumin,None
R00s,albumin,None
R00t,albumin,None
R00u,albumin,None
R00v,albumin,None
R00w,albumin,None
R00y,albumin,None
R00z,albumin,None
R010,albumin,None
R011,albumin,None
R012,albumin,None
R013,albumin,None
R014,albumin,None
R015,albumin,None
R016,albumin,None
R017,albumin,None
R018,albumin,None
R019,albumin,None
R01a,albumin,None
R01b,albumin,None
R01c,albumin,None
R01d,albumin,None
R01e,albumin,None
R01f,albumin,None
R01g,albumin,None
R01h,albumin,None
R01i,albumin,None
R01j,albumin,None
R01l,albumin,None
R01m,albumin,None
R01n,albumin,None
R01o,albumin,None
R01p,albumin,None
R01q,albumin,None
R01s,albumin,None
R01t,albumin,None
R01u,albumin,None
R01v,albumin,None
R01w,albumin,None
R01x,albumin,None
R01y,albumin,None
R01z,albumin,None
R020,albumin,None
R022,albumin,None
R023,albumin,None
R024,albumin,None
R025,albumin,None
R026,albumin,None
R027,albumin,None
R028,albumin,None
R02a,albumin,None
R02b,albumin,None
R02c,albumin,None
R02d,albumin,None
R02e,albumin,None
R02f,albumin,None
R02g,albumin,None
R02h,albumin,None
R02i,albumin,None
R02j,albumin,None
R02l,albumin,None
R02m,albumin,None
R02n,albumin,None
R02o,albumin,None
R02p,albumin,None
R02q,albumin,None
R02r,albumin,None
R02s,albumin,None
R02u,albumin,None
R02v,albumin,None
R02w,albumin,None
R02x,albumin,None
R02y,albumin,None
R02z,albumin,None
R030,albumin,None
R031,albumin,None
R033,albumin,None
R034,albumin,None
R035,albumin,None
R036,albumin,None
R037,albumin,None
R038,albumin,None
R039,albumin,None
R03a,albumin,None
R03b,albumin,None
R03c,albumin,None
R03d,albumin,None
R03e,albumin,None
R03f,albumin,None
R03g,albumin,None
R03h,albumin,None
R03i,albumin,None
R03j,albumin,None
R03k,albumin,None
R03l,albumin,None
R03m,albumin,None
R03n,albumin,None
R03o,albumin,None
R03p,albumin,None
R03q,albumin,None
R03r,albumin,None
R03s,albumin,None
R03t,albumin,None
R03u,albumin,None
R03v,albumin,None
R03x,albumin,None
R03y,albumin,None
R03z,albumin,None
R040,albumin,None
R041,albumin,None
R042,albumin,None
R043,albumin,None
R044,albumin,None
