SegmentID,ComponentType,Subtype,DiffusionCoefficient
A200,spike,,0.03148
A201,spike,,0.03276
A202,spike,,0.00667
A203,spike,,0.01025
A204,spike,,0.01325
A205,spike,,0.00516
A207,spike,,0.0078
A208,spike,,0.01886
A209,spike,,0.01905
A210,spike,,0.02417
A211,spike,,0.02114
A212,spike,,0.01496
A213,spike,,0.01751
A214,spike,,0.00919
A215,spike,,0.02458
A216,spike,,0.02765
A217,spike,,0.0206
A218,spike,,0.01366
A219,spike,,0.01893
A220,spike,,0.01708
A221,spike,,0.01954
A222,spike,,0.01635
A223,spike,,0.0066
A224,spike,,0.02104
A225,spike,,0.01486
A226,spike,,0.0192
A227,spike,,0.00245
A228,spike,,0.01938
A229,spike,,0.02045
R000,albumin,,0.08306
R001,albumin,,0.1242
R002,albumin,,0.08342
R003,albumin,,0.12372
R004,albumin,,0.0008
R005,albumin,,0.01863
R006,albumin,,0.04883
R007,albumin,,0.20084
R008,albumin,,0.04869
R009,albumin,,0.00707
R00a,albumin,,0.32926
R00b,albumin,,0.05831
R00c,albumin,,0.0198
R00d,albumin,,0.04255
R00e,albumin,,0.04467
R00f,albumin,,0.08896
R00g,albumin,,0.04007
R00h,albumin,,0.00912
R00i,albumin,,0.02597
R00j,albumin,,0.00732
R00k,albumin,,0.06019
R00l,albumin,,0.02103
R00m,albumin,,0.07731
R00n,albumin,,0.0008
R00o,albumin,,0.05053
R00p,albumin,,0.04377
R00q,albumin,,0.12955
R00r,albumin,,0.11321
R00s,albumin,,0.08987
R00t,albumin,,0.06197
R00u,albumin,,0.0008
R00v,albumin,,0.04753
R00w,albumin,,0.06194
R00y,albumin,,0.03312
R00z,albumin,,0.04002
R010,albumin,,0.04376
R011,albumin,,0.02384
R012,albumin,,0.06698
R013,albumin,,0.11221
R014,albumin,,0.0545
R015,albumin,,0.03935
R016,albumin,,0.03046
R017,albumin,,0.0712
R018,albumin,,0.08779
R019,albumin,,0.0677
R01a,albumin,,0.06865
R01b,albumin,,0.08064
R01c,albumin,,0.03117
R01d,albumin,,0.06414
R01e,albumin,,0.21736
R01f,albumin,,0.06057
R01g,albumin,,0.06749
R01h,albumin,,0.00171
R01i,albumin,,0.12463
R01j,albumin,,0.09628
R01l,albumin,,0.02814
R01m,albumin,,0.0151
R01n,albumin,,0.09121
R01o,albumin,,0.04913
R01p,albumin,,0.22796
R01q,albumin,,0.1273
R01s,albumin,,0.01856
R01t,albumin,,0.03527
R01u,albumin,,0.0433
R01v,albumin,,0.01475
R01w,albumin,,0.24167
R01x,albumin,,0.1112
R01y,albumin,,0.02964
R01z,albumin,,0.05897
R020,albumin,,0.13072
R022,albumin,,0.15721
R023,albumin,,0.04503
R024,albumin,,0.06551
R025,albumin,,0.20973
R026,albumin,,0.02429
R027,albumin,,0.0008
R028,albumin,,0.03403
R02a,albumin,,0.00947
R02b,albumin,,0.10994
R02c,albumin,,0.0008
R02d,albumin,,0.08709
R02e,albumin,,0.05107
R02f,albumin,,0.11769
R02g,albumin,,0.16328
R02h,albumin,,0.03112
R02i,albumin,,0.10897
R02j,albumin,,0.0008
R02l,albumin,,0.00223
R02m,albumin,,0.09569
R02n,albumin,,0.36074
R02o,albumin,,0.10364
R02p,albumin,,0.11585
R02q,albumin,,0.11099
R02r,albumin,,0.0008
R02s,albumin,,0.11438
R02u,albumin,,0.0325
R02v,albumin,,0.05956
R02w,albumin,,0.10136
R02x,albumin,,0.02817
R02y,albumin,,0.21486
R02z,albumin,,0.11719
R030,albumin,,0.06736
R031,albumin,,0.15453
R033,albumin,,0.02858
R034,albumin,,0.11277
R035,albumin,,0.00589
R036,albumin,,0.0008
R037,albumin,,0.16961
R038,albumin,,0.03953
R039,albumin,,0.1021
R03a,albumin,,0.08615
R03b,albumin,,0.17438
R03c,albumin,,0.02774
R03d,albumin,,0.0275
R03e,albumin,,0.07076
R03f,albumin,,0.0069
R03g,albumin,,0.01724
R03h,albumin,,0.26582
R03i,albumin,,0.11756
R03j,albumin,,0.01669
R03k,albumin,,0.05606
R03l,albumin,,0.09145
R03m,albumin,,0.16577
R03n,albumin,,0.05405
R03o,albumin,,0.07984
R03p,albumin,,0.05296
R03q,albumin,,0.13822
R03r,albumin,,0.08599
R03s,albumin,,0.13113
R03t,albumin,,0.12526
R03u,albumin,,0.1351
R03v,albumin,,0.10581
R03x,albumin,,0.09896
R03y,albumin,,0.14366
R03z,albumin,,0.0718
R040,albumin,,0.00285
R041,albumin,,0.05718
R042,albumin,,0.11419
R043,albumin,,0.1035
R044,albumin,,0.0104
R045,albumin,,0.04745
R046,albumin,,0.15137
R048,albumin,,0.29049
R049,albumin,,0.04389
R04a,albumin,,0.0008
R04b,albumin,,0.1618
R04c,albumin,,0.06598
R04d,albumin,,0.07774
R04f,albumin,,0.00941
R04g,albumin,,0.12986
R04h,albumin,,0.02494
R04i,albumin,,0.1262
R04j,albumin,,0.08256
R04k,albumin,,0.06222
R04l,albumin,,0.01834
R04m,albumin,,0.00231
R04n,albumin,,0.03461
R04p,albumin,,0.11879
R04q,albumin,,0.04399
R04r,albumin,,0.28247
R04s,albumin,,0.03341
R04t,albumin,,0.09198
R04u,albumin,,0.07237
R04v,albumin,,0.10272
R04w,albumin,,0.06239
R04x,albumin,,0.02821
R04y,albumin,,0.18074
R050,albumin,,0.12719
R051,albumin,,0.11233
R052,albumin,,0.00269
R053,albumin,,0.06204
R054,albumin,,0.23467
R055,albumin,,0.04671
R056,albumin,,0.02897
R057,albumin,,0.1287
R058,albumin,,0.15106
R059,albumin,,0.07294
R05a,albumin,,0.03461
R05b,albumin,,0.07685
R05c,albumin,,0.00415
R05d,albumin,,0.0008
R05e,albumin,,0.03335
R05f,albumin,,0.04016
R05g,albumin,,0.04731
R05h,albumin,,0.07221
R05i,albumin,,0.15973
R05j,albumin,,0.03899
R05k,albumin,,0.10394
R05l,albumin,,0.2016
R05m,albumin,,0.07698
R05n,albumin,,0.08316
R05o,albumin,,0.0008
R05p,albumin,,0.03737
R05q,albumin,,0.01508
R05s,albumin,,0.061
R05t,albumin,,0.21071
R05u,albumin,,0.05735
R05v,albumin,,0.07014
R05w,albumin,,0.09881
R05x,albumin,,0.21741
R05y,albumin,,0.05355
R05z,albumin,,0.11012
R061,albumin,,0.04593
R062,albumin,,0.00311
R063,albumin,,0.13102
R064,albumin,,0.15483
R065,albumin,,0.0008
R067,albumin,,0.0369
R068,albumin,,0.11019
R069,albumin,,0.11753
R06a,albumin,,0.07223
R06b,albumin,,0.10591
R06c,albumin,,0.33076
R06d,albumin,,0.05689
R06e,albumin,,0.08155
R06f,albumin,,0.04351
R06g,albumin,,0.04527
R06h,albumin,,0.0008
R06i,albumin,,0.0898
R06j,albumin,,0.09741
R06k,albumin,,0.26048
R06l,albumin,,0.05636
R06m,albumin,,0.14981
R06n,albumin,,0.03873
R06o,albumin,,0.1808
R06q,albumin,,0.02735
R06r,albumin,,0.17656
R06s,albumin,,0.06184
R06t,albumin,,0.01339
R06u,albumin,,0.0796
R06v,albumin,,0.04371
R06w,albumin,,0.06111
R06x,albumin,,0.13723
R06y,albumin,,0.03987
R06z,albumin,,0.00924
R070,albumin,,0.08954
R072,albumin,,0.07703
R073,albumin,,0.02165
R074,albumin,,0.02041
R075,albumin,,0.03737
R076,albumin,,0.12812
R077,albumin,,0.0098
R078,albumin,,0.05945
R079,albumin,,0.03492
R07a,albumin,,0.20691
R07b,albumin,,0.25514
R07c,albumin,,0.1557
R07d,albumin,,0.26352
R07e,albumin,,0.10111
R07g,albumin,,0.02704
R07h,albumin,,0.07815
R07i,albumin,,0.02283
R07j,albumin,,0.10778
R07k,albumin,,0.0397
R07m,albumin,,0.03759
R07n,albumin,,0.09066
R07o,albumin,,0.04831
R07p,albumin,,0.04415
R07q,albumin,,0.16228
R07r,albumin,,0.03199
R07s,albumin,,0.12498
R07t,albumin,,0.08089
R07u,albumin,,0.08994
R07v,albumin,,0.13377
R07w,albumin,,0.02103
R07x,albumin,,0.18349
R07y,albumin,,0.0514
R07z,albumin,,0.22171
R080,albumin,,0.01523
R081,albumin,,0.11636
R082,albumin,,0.07939
R083,albumin,,0.04994
R084,albumin,,0.06939
R085,albumin,,0.0008
R086,albumin,,0.02808
R087,albumin,,0.08691
R088,albumin,,0.02372
R089,albumin,,0.09739
R08a,albumin,,0.03552
R08b,albumin,,0.07604
R08c,albumin,,0.04079
R08d,albumin,,0.19949
R08e,albumin,,0.14137
R08g,albumin,,0.04212
R08h,albumin,,0.06444
R08i,albumin,,0.02852
R08j,albumin,,0.12729
R08k,albumin,,0.09904
R08l,albumin,,0.03531
R08m,albumin,,0.09769
R08n,albumin,,0.14575
R08o,albumin,,0.11107
R08q,albumin,,0.27354
R08r,albumin,,0.00275
R08s,albumin,,0.02799
R08t,albumin,,0.10764
R08u,albumin,,0.07559
R08v,albumin,,0.2497
R08w,albumin,,0.169
R08x,albumin,,0.05048
R08y,albumin,,0.06401
R08z,albumin,,0.07167
R090,albumin,,0.03492
R091,albumin,,0.11794
R093,albumin,,0.08686
R094,albumin,,0.06648
R095,albumin,,0.04699
R096,albumin,,0.02299
R097,albumin,,0.1401
R098,albumin,,0.06397
R09a,albumin,,0.00259
R09b,albumin,,0.12396
R09c,albumin,,0.01071
R09d,albumin,,0.05962
R09e,albumin,,0.03227
R09f,albumin,,0.09354
R09g,albumin,,0.02284
R09h,albumin,,0.11501
R09i,albumin,,0.15854
R09k,albumin,,0.11867
R09l,albumin,,0.16907
R09m,albumin,,0.21967
R09n,albumin,,0.1715
R09o,albumin,,0.10448
R09p,albumin,,0.11829
R09q,albumin,,0.19984
R09r,albumin,,0.03086
R09s,albumin,,0.04138
R09t,albumin,,0.09961
R09u,albumin,,0.04566
R09v,albumin,,0.05487
R09w,albumin,,0.08827
R09x,albumin,,0.0992
R09y,albumin,,0.27949
R09z,albumin,,0.27899
R0a0,albumin,,0.03485
R0a2,albumin,,0.05439
R0a3,albumin,,0.02958
R0a4,albumin,,0.06821
R0a5,albumin,,0.07156
R0a6,albumin,,0.19467
R0a7,albumin,,0.1256
R0a8,albumin,,0.0728
R0a9,albumin,,0.17259
R0aa,albumin,,0.21995
R0ab,albumin,,0.19474
R0ac,albumin,,0.10445
R0ad,albumin,,0.12877
R0ae,albumin,,0.19234
R0af,albumin,,0.01604
R0ag,albumin,,0.05807
R0ah,albumin,,0.05761
R0aj,albumin,,0.18218
R0ak,albumin,,0.04234
R0al,albumin,,0.08341
R0am,albumin,,0.08311
R0an,albumin,,0.07755
R0ao,albumin,,0.0526
R0ap,albumin,,0.1511
R0aq,albumin,,0.16965
R0ar,albumin,,0.24498
R0as,albumin,,0.0789
R0au,albumin,,0.03906
R0av,albumin,,0.08928
R0aw,albumin,,0.11776
R0ax,albumin,,0.07685
R0ay,albumin,,0.19632
R0az,albumin,,0.0008
R0b0,albumin,,0.02092
R0b1,albumin,,0.04561
R0b2,albumin,,0.04679
R0b4,albumin,,0.10617
R0b5,albumin,,0.16966
R0b6,albumin,,0.18221
R0b7,albumin,,0.17787
R0b8,albumin,,0.05352
R0b9,albumin,,0.02118
R0ba,albumin,,0.3345
R0bb,albumin,,0.11073
R0bc,albumin,,0.08711
R0bd,albumin,,0.09416
R0be,albumin,,0.14266
R0bf,albumin,,0.0508
R0bg,albumin,,0.0288
R0bi,albumin,,0.18254
R0bj,albumin,,0.02279
R0bk,albumin,,0.01504
R0bl,albumin,,0.11547
R0bm,albumin,,0.11781
R0bo,albumin,,0.0008
R0bp,albumin,,0.17915
R0bq,albumin,,0.08036
R0br,albumin,,0.10294
R0bs,albumin,,0.04851
R0bt,albumin,,0.11233
R0bu,albumin,,0.08633
R0bv,albumin,,0.06227
R0bw,albumin,,0.05052
R0bx,albumin,,0.06787
R0by,albumin,,0.09388
R0bz,albumin,,0.06588
R0c0,albumin,,0.15989
R0c1,albumin,,0.2129
R0c2,albumin,,0.01447
R0c3,albumin,,0.08671
R0c4,albumin,,0.0426
R0c5,albumin,,0.06222
R0c6,albumin,,0.04745
R0c7,albumin,,0.0514
R0c9,albumin,,0.22454
R0ca,albumin,,0.18953
R0cb,albumin,,0.0071
R0cc,albumin,,0.033
R0cd,albumin,,0.19107
R0ce,albumin,,0.15452
R0cf,albumin,,0.14478
R0cg,albumin,,0.20474
R0ch,albumin,,0.07135
R0ci,albumin,,0.0008
R0cj,albumin,,0.04025
R0ck,albumin,,0.10219
R0cl,albumin,,0.10264
R0cm,albumin,,0.10399
R0cn,albumin,,0.09144
R0co,albumin,,0.0008
R0cp,albumin,,0.12668
R0cq,albumin,,0.04978
R0cr,albumin,,0.08181
R0cs,albumin,,0.08337
R0ct,albumin,,0.00302
R0cu,albumin,,0.03588
R0cv,albumin,,0.05316
R0cw,albumin,,0.11159
R0cx,albumin,,0.10608
R0cy,albumin,,0.08941
R0cz,albumin,,0.29758
R0d0,albumin,,0.09735
R0d1,albumin,,0.2382
R0d2,albumin,,0.04305
R0d3,albumin,,0.04436
R0d4,albumin,,0.0853
R0d5,albumin,,0.02277
R0d6,albumin,,0.09774
R0d7,albumin,,0.0008
R0d8,albumin,,0.07071
R0d9,albumin,,0.01698
R0da,albumin,,0.02003
R0db,albumin,,0.03145
R0dc,albumin,,0.02669
R0dd,albumin,,0.03497
R0de,albumin,,0.02031
R0df,albumin,,0.07045
R0dg,albumin,,0.02352
R0dh,albumin,,0.08044
R0di,albumin,,0.04821
